Name;Duration;Conf;Efficiency 
model00001.xml;52.007;399;7.672044147903168
model00002.xml;2194.338;4560;2.078075483357623
model00003.xml;2260.362;4563;2.018703198868146
model00004.xml;2236.295;4550;2.0346152900221126
model00005.xml;2284.35;4546;1.9900628187449385
model00006.xml;2212.314;4542;2.053053951654241
model00007.xml;28802.01;8155;0.2831399614124153
model00008.xml;3024.412;4975;1.644947844407442
model00009.xml;3774.498;6392;1.6934702310082028
model00010.xml;3554.445;6245;1.7569550239207528